term_id,name,slug,count,description
1357,ΜΠΟΡΝΤΩ,%ce%bc%cf%80%ce%bf%cf%81%ce%bd%cf%84%cf%89,27,
1456,"ΜΠΟΡΝΤΩ - ΚΙΤΡΙΝΟ - ΠΡΑΣΙΝΟ",%ce%bc%cf%80%ce%bf%cf%81%ce%bd%cf%84%cf%89-%ce%ba%ce%b9%cf%84%cf%81%ce%b9%ce%bd%ce%bf-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1397,"ΜΠΟΡΝΤΩ - ΠΡΑΣΙΝΟ",%ce%bc%cf%80%ce%bf%cf%81%ce%bd%cf%84%cf%89-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1413,ΜΠΡΟΝΖΕ,%ce%bc%cf%80%cf%81%ce%bf%ce%bd%ce%b6%ce%b5,5,
1388,"ΜΩΒ - ΚΟΚΚΙΝΟ",%ce%bc%cf%89%ce%b2-%ce%ba%ce%bf%ce%ba%ce%ba%ce%b9%ce%bd%ce%bf,0,
1383,"ΜΩΒ - ΦΟΥΞΙΑ",%ce%bc%cf%89%ce%b2-%cf%86%ce%bf%cf%85%ce%be%ce%b9%ce%b1,0,
1450,"ΜΩΒ ΜΠΕΖ - ΠΡΑΣΙΝΟ",%ce%bc%cf%89%ce%b2-%ce%bc%cf%80%ce%b5%ce%b6-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1333,"ΜΩΒ ΠΡΑΣΙΝΟ",%ce%bc%cf%89%ce%b2-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1404,"ΜΩΒ ΣΚΟΥΡΟ",%ce%bc%cf%89%ce%b2-%cf%83%ce%ba%ce%bf%cf%85%cf%81%ce%bf,0,
1418,ΝΙΚΕΛ,%ce%bd%ce%b9%ce%ba%ce%b5%ce%bb,0,
1549,Ξύλου,%ce%be%cf%8d%ce%bb%ce%bf%cf%85,1,
1545,Οξιά,%ce%bf%ce%be%ce%b9%ce%ac,0,
1345,ΠΕΤΡΟΛ,%cf%80%ce%b5%cf%84%cf%81%ce%bf%ce%bb,2,
1469,"ΠΡΑΣΙΝΟ - ΜΟΥΣΤΑΡΔΙ",%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf-%ce%bc%ce%bf%cf%85%cf%83%cf%84%ce%b1%cf%81%ce%b4%ce%b9,0,
1396,"ΠΡΑΣΙΝΟ - ΜΠΟΡΝΤΩ",%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf-%ce%bc%cf%80%ce%bf%cf%81%ce%bd%cf%84%cf%89,0,
1402,"ΠΡΑΣΙΝΟ - ΜΩΒ",%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf-%ce%bc%cf%89%ce%b2,0,
1455,"ΠΡΑΣΙΝΟ - ΜΩΒ - ΠΡΑΣΙΝΟ",%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf-%ce%bc%cf%89%ce%b2-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1363,"ΠΡΑΣΙΝΟ ΚΟΚΚΙΝΟ",%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf-%ce%ba%ce%bf%ce%ba%ce%ba%ce%b9%ce%bd%ce%bf,0,
1334,"ΠΡΑΣΙΝΟ ΡΟΖ",%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf-%cf%81%ce%bf%ce%b6,0,
1379,"ΡΟΖ - ΚΙΤΡΙΝΟ",%cf%81%ce%bf%ce%b6-%ce%ba%ce%b9%cf%84%cf%81%ce%b9%ce%bd%ce%bf,0,
1398,"ΡΟΖ - ΛΙΛΑ",%cf%81%ce%bf%ce%b6-%ce%bb%ce%b9%ce%bb%ce%b1,0,
1347,"ΡΟΖ - ΜΠΕΖ",%cf%81%ce%bf%ce%b6-%ce%bc%cf%80%ce%b5%ce%b6,0,
1401,"ΡΟΖ - ΜΩΒ",%cf%81%ce%bf%ce%b6-%ce%bc%cf%89%ce%b2,0,
1390,"ΡΟΖ - ΠΡΑΣΙΝΟ",%cf%81%ce%bf%ce%b6-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1371,"ΡΟΖ - ΦΟΥΞΙΑ",%cf%81%ce%bf%ce%b6-%cf%86%ce%bf%cf%85%ce%be%ce%b9%ce%b1,0,
1462,"ΡΟΖ - ΦΟΥΞΙΑ - ΠΡΑΣΙΝΟ",%cf%81%ce%bf%ce%b6-%cf%86%ce%bf%cf%85%ce%be%ce%b9%ce%b1-%cf%80%cf%81%ce%b1%cf%83%ce%b9%ce%bd%ce%bf,0,
1459,"ΡΟΖ ΑΝΟΙΧΤΟ",%cf%81%ce%bf%ce%b6-%ce%b1%ce%bd%ce%bf%ce%b9%cf%87%cf%84%ce%bf,0,
1405,"ΡΟΖ ΣΚΟΥΡΟ",%cf%81%ce%bf%ce%b6-%cf%83%ce%ba%ce%bf%cf%85%cf%81%ce%bf,0,
1321,ΣΑΜΠΑΝΙ,%cf%83%ce%b1%ce%bc%cf%80%ce%b1%ce%bd%ce%b9,37,
