term_id,name,slug,count,description
933,"Κόντρα πλακέ",%ce%ba%cf%8c%ce%bd%cf%84%cf%81%ce%b1-%cf%80%ce%bb%ce%b1%ce%ba%ce%ad,24,
2381,Κοντρα-πλακέ,%ce%ba%ce%bf%ce%bd%cf%84%cf%81%ce%b1-%cf%80%ce%bb%ce%b1%ce%ba%ce%ad,32,
2361,Κοράλι,%ce%ba%ce%bf%cf%81%ce%ac%ce%bb%ce%b9,1,
1525,Κορδόνι,%ce%ba%ce%bf%cf%81%ce%b4%cf%8c%ce%bd%ce%b9,1,
1318,"ΚΡΥΣΤΑΛΛΟ - ΛΙΝΟ",%ce%ba%cf%81%cf%85%cf%83%cf%84%ce%b1%ce%bb%ce%bb%ce%bf-%ce%bb%ce%b9%ce%bd%ce%bf,2,
1504,ΛΙΝΟ,%ce%bb%ce%b9%ce%bd%ce%bf,1,
1514,Μαντέμι,%ce%bc%ce%b1%ce%bd%cf%84%ce%ad%ce%bc%ce%b9,1,
1522,Μάρμαρο,%ce%bc%ce%ac%cf%81%ce%bc%ce%b1%cf%81%ce%bf,7,
1319,"ΜΑΡΜΑΡΟ - ΛΙΝΟ",%ce%bc%ce%b1%cf%81%ce%bc%ce%b1%cf%81%ce%bf-%ce%bb%ce%b9%ce%bd%ce%bf,2,
1519,"Μασίφ Ξύλο",%ce%bc%ce%b1%cf%83%ce%af%cf%86-%ce%be%cf%8d%ce%bb%ce%bf,199,
1512,Μελαμίνη,%ce%bc%ce%b5%ce%bb%ce%b1%ce%bc%ce%af%ce%bd%ce%b7,294,
2631,"Μέταλλο, Πανί",%ce%bc%ce%ad%cf%84%ce%b1%ce%bb%ce%bb%ce%bf-%cf%80%ce%b1%ce%bd%ce%af,1,
1538,"Μπουκλέ ύφασμα",%ce%bc%cf%80%ce%bf%cf%85%ce%ba%ce%bb%ce%ad-%cf%8d%cf%86%ce%b1%cf%83%ce%bc%ce%b1,14,
934,Ξύλο,%ce%be%cf%8d%ce%bb%ce%bf,971,
2513,"Ξύλο Sungkai",%ce%be%cf%8d%ce%bb%ce%bf-sungkai,1,
1158,"Ξύλο Teak",%ce%be%cf%8d%ce%bb%ce%bf-teak,92,
1536,"Ξύλο toon",%ce%be%cf%8d%ce%bb%ce%bf-toon,1,
1520,"Ξύλο ακακίας",%ce%be%cf%8d%ce%bb%ce%bf-%ce%b1%ce%ba%ce%b1%ce%ba%ce%af%ce%b1%cf%82,31,
1533,"Ξύλο αλβασίας",%ce%be%cf%8d%ce%bb%ce%bf-%ce%b1%ce%bb%ce%b2%ce%b1%cf%83%ce%af%ce%b1%cf%82,6,
2407,"Ξύλο Έλατου",%ce%be%cf%8d%ce%bb%ce%bf-%ce%ad%ce%bb%ce%b1%cf%84%ce%bf%cf%85,7,
2389,"Ξύλο Ευκαλύπτου",%ce%be%cf%8d%ce%bb%ce%bf-%ce%b5%cf%85%ce%ba%ce%b1%ce%bb%cf%8d%cf%80%cf%84%ce%bf%cf%85,17,
1534,"Ξύλο μαόνι",%ce%be%cf%8d%ce%bb%ce%bf-%ce%bc%ce%b1%cf%8c%ce%bd%ce%b9,3,
1523,"Ξύλο οξιάς",%ce%be%cf%8d%ce%bb%ce%bf-%ce%bf%ce%be%ce%b9%ce%ac%cf%82,30,
1529,"Ξύλο πεύκου",%ce%be%cf%8d%ce%bb%ce%bf-%cf%80%ce%b5%cf%8d%ce%ba%ce%bf%cf%85,45,
